code_quartier_prioritaire,code_academie,nbre_eleves_ulis,effectifs_filles,effectifs_garcons
069025,10,19,42,51
069025,10,22,42,51
069025,10,18,42,51
069025,10,21,42,51
069023,10,0,63,61
069023,10,7,63,61
069023,10,0,63,61
069023,10,0,63,61
039002,3,19,73,77
039002,3,13,73,77
039002,3,19,73,77
039002,3,17,73,77
090001,3,13,32,34
090001,3,12,32,34
090001,3,12,32,34
090001,3,12,32,34
035007,14,0,70,57
035007,14,0,70,57
035007,14,0,70,57
035007,14,0,70,57
056002,14,12,77,82
056002,14,0,77,82
056002,14,7,77,82
056002,14,10,77,82
056005,14,12,56,32
056005,14,12,56,32
056005,14,12,56,32
056005,14,12,56,32
037012,18,12,51,67
037012,18,12,51,67
037012,18,11,51,67
037012,18,10,51,67
088003,12,12,98,76
088003,12,13,98,76
088003,12,12,98,76
088003,12,11,98,76
010001,19,8,57,85
010001,19,6,57,85
010001,19,10,57,85
010001,19,9,57,85
051008,19,11,48,49
051008,19,12,48,49
051008,19,12,48,49
051008,19,11,48,49
973006,33,26,98,112
973006,33,39,98,112
973006,33,34,98,112
973006,33,32,98,112
002012,20,19,53,45
002012,20,27,53,45
002012,20,26,53,45
002012,20,21,53,45
060015,20,13,96,84
060015,20,14,96,84
060015,20,13,96,84
060015,20,13,96,84
059056,9,0,31,32
059056,9,0,31,32
059056,9,0,31,32
059056,9,0,31,32
059043,9,0,111,123
059043,9,0,111,123
059043,9,0,111,123
059043,9,0,111,123
059079,9,0,14,18
059079,9,0,14,18
059079,9,0,14,18
059079,9,0,14,18
059018,9,12,28,48
059018,9,11,28,48
059018,9,13,28,48
059018,9,12,28,48
059029,9,14,47,55
059029,9,11,47,55
059029,9,10,47,55
059029,9,11,47,55
062003,9,6,75,53
062003,9,11,75,53
062003,9,0,75,53
062003,9,11,75,53
094041,24,0,81,101
094041,24,0,81,101
094041,24,0,81,101
094041,24,0,81,101
075018,1,0,63,50
075018,1,0,63,50
075018,1,0,63,50
075018,1,0,63,50
091035,25,0,121,94
091035,25,0,121,94
091035,25,0,121,94
091035,25,0,121,94
091035,25,12,68,72
091035,25,10,68,72
091035,25,11,68,72
091035,25,8,68,72
091031,25,0,108,87
